Window	width	angle	angle	mean ang	std ang	mean int	std int	mean std	std std
101.00	0.01	0	179	0.080024634	0.110126709	3.889743805	0.089746551	1.253670527	0.005693481
101.00	0.01	10	9	9.602182808	0.150219427	3.852704785	0.103807542	1.403050797	0.042936153
101.00	0.01	100	99	100.0735562	0.156596328	3.858863062	0.105103292	1.407003181	0.043595378
101.00	0.01	105	105	104.8659402	0.140162684	3.863457584	0.084233029	1.423182643	0.029880547
101.00	0.01	110	109	110.0521533	0.175743014	3.889421158	0.08689986	1.412192746	0.013499471
101.00	0.01	115	115	115.018231	0.148396873	3.844071819	0.083457013	1.383570978	0.031110786
101.00	0.01	120	119	120.2018519	0.153248336	3.877177113	0.100000724	1.410581954	0.024567294
101.00	0.01	125	125	125.0923252	0.169124828	3.836511663	0.090500753	1.374144169	0.028911621
101.00	0.01	130	129	130.1173031	0.190478755	3.828537377	0.098293747	1.373485195	0.049767247
101.00	0.01	135	135	135.2279416	0.232074215	5.270883522	0.242905776	1.457324418	0.111809283
101.00	0.01	140	140	140.3246359	0.217809254	3.82592546	0.155966819	1.381942565	0.077479112
101.00	0.01	145	145	145.3448295	0.169993858	3.84444761	0.09129906	1.381611559	0.034941744
101.00	0.01	15	14	14.41037915	0.140621539	3.868157991	0.093300383	1.427299105	0.029808876
101.00	0.01	150	150	150.222486	0.119927111	3.878573415	0.101436218	1.412126917	0.025338992
101.00	0.01	155	155	155.4403205	0.149872584	3.840536159	0.086795563	1.380329613	0.030711303
101.00	0.01	160	160	160.4061645	0.176997482	3.894356115	0.089660141	1.416922741	0.017745641
101.00	0.01	165	165	165.5954753	0.144050569	3.868867727	0.086453279	1.42845602	0.028917144
101.00	0.01	170	170	170.3848401	0.156301383	3.856833745	0.114628332	1.40612797	0.048991421
101.00	0.01	175	175	175.3969379	0.059895577	3.815938107	0.108771441	1.401252125	0.047131069
101.00	0.01	20	19	19.58543511	0.173719046	3.887156032	0.088053001	1.408873147	0.015482841
101.00	0.01	25	24	24.55838804	0.153310437	3.843266609	0.086943751	1.383751286	0.029375748
101.00	0.01	30	29	29.79466788	0.123393025	3.874367176	0.092258495	1.410695733	0.02910593
101.00	0.01	35	34	34.64527682	0.224975825	3.806620218	0.18854986	1.370861615	0.079688045
101.00	0.01	40	39	39.68215283	0.197918614	3.828420349	0.104804902	1.375688387	0.053658225
101.00	0.01	45	44	44.78878641	0.194785079	5.261679995	0.227540626	1.437526231	0.11889404
101.00	0.01	5	5	4.600602657	0.078683644	3.801352991	0.124931638	1.388495734	0.054354503
101.00	0.01	50	50	49.88248808	0.220020602	3.832202005	0.149964572	1.387338453	0.077495377
101.00	0.01	55	54	54.88278817	0.259187277	3.821657898	0.220081346	1.391823442	0.089553665
101.00	0.01	60	60	59.80838621	0.168308175	3.878249715	0.090451829	1.415335251	0.030545667
101.00	0.01	65	64	64.98729948	0.154950198	3.841236688	0.088647577	1.381277444	0.028985446
101.00	0.01	70	70	69.96141066	0.174449597	3.897891182	0.087096262	1.420334554	0.016905159
101.00	0.01	75	74	75.1279931	0.145187746	3.86722597	0.098589139	1.428827489	0.038000128
101.00	0.01	80	80	79.93147572	0.151345228	3.87000412	0.10133526	1.413401197	0.04369304
101.00	0.01	85	84	84.93384786	0.06477129	3.828960104	0.113728993	1.386476919	0.046524202
101.00	0.01	90	90	89.96454304	0.13483799	4.03261226	0.106207273	1.481134782	0.015719457
101.00	0.01	95	95	95.06730884	0.058707825	3.815795796	0.122015132	1.373565684	0.052585257
101.00	0.06	0	179	179.242387	1.298775248	3.965653515	0.966733622	7.159854839	1.312673285
101.00	0.06	10	9	9.093091411	1.318198384	3.963603222	0.979877107	7.177865169	1.244119975
101.00	0.06	100	99	99.23506041	1.305888107	4.004245794	0.940439765	7.34416952	1.335933108
101.00	0.06	105	105	105.834681	1.19548939	3.946929245	0.932187369	7.18044319	1.40999392
101.00	0.06	110	109	108.9307449	1.460661088	3.852438835	0.984818064	7.171527641	1.326854484
101.00	0.06	115	115	114.0530718	1.21932125	3.881497245	0.968255772	7.148080758	1.364558667
101.00	0.06	120	119	119.0073778	1.541537315	3.845607683	0.99395819	7.188491105	1.313606917
101.00	0.06	125	125	124.5183916	1.458536969	3.897889052	0.958721498	7.204858415	1.369590865
101.00	0.06	130	129	129.0434065	1.589416138	3.831606484	1.001430309	7.232991084	1.278280538
101.00	0.06	135	135	133.9472517	1.388045953	3.744930104	1.011098083	6.974753823	1.30026833
101.00	0.06	140	140	139.2442387	1.25047086	3.882216151	0.953207127	7.133711853	1.379827822
101.00	0.06	145	145	144.1077528	1.358348056	3.87296087	0.980738241	7.141818142	1.357728466
101.00	0.06	15	14	15.53835468	1.140083767	3.986132787	0.912288111	6.960637975	1.443487797
101.00	0.06	150	150	149.6796205	1.344385969	3.913012513	0.934289044	7.211434404	1.398704923
101.00	0.06	155	155	154.2622696	1.582259827	3.873214699	0.974646901	7.180209907	1.364823761
101.00	0.06	160	160	159.3600455	1.309966764	3.89506001	0.952636171	7.031097537	1.395691815
101.00	0.06	165	165	164.2638663	1.410856062	3.949601703	0.947325712	7.038661381	1.367425014
101.00	0.06	170	170	170.7176872	1.036744883	4.019609108	0.932545099	7.125724818	1.334176084
101.00	0.06	175	175	175.0918418	1.313389007	3.913849277	0.935637661	7.01704318	1.371451101
101.00	0.06	20	19	18.57818932	1.483912163	3.888053148	0.984225165	7.13100336	1.325836818
101.00	0.06	25	24	23.63482076	1.247251686	3.874575245	0.968743038	7.135790414	1.373797794
101.00	0.06	30	29	28.5956845	1.570907525	3.843934922	0.991450372	7.172259527	1.332425558
101.00	0.06	35	34	34.6265732	1.533769147	3.899206511	0.947492942	7.110326757	1.4238662
101.00	0.06	40	39	38.7663487	1.65228366	3.849127038	0.990831853	7.25094501	1.296809267
101.00	0.06	45	44	43.90332256	1.217572604	4.052947474	0.946394107	7.358070559	1.296622834
101.00	0.06	5	5	4.039775447	1.390309138	3.87630281	0.986345316	7.074423876	1.279457686
101.00	0.06	50	50	48.97341032	1.328965842	3.909574581	0.939255762	7.251899687	1.365098271
101.00	0.06	55	54	53.69908997	1.411556538	3.875380011	0.977181255	7.139681815	1.357569169
101.00	0.06	60	60	59.44373763	1.454389021	3.913729334	0.941889896	7.181890762	1.391458546
101.00	0.06	65	64	64.08389323	1.641543408	3.874798582	0.9665904	7.196536877	1.355623697
101.00	0.06	70	70	68.9660882	1.346425808	3.892305633	0.96279261	7.145413279	1.37922652
101.00	0.06	75	74	73.97684531	1.521987918	3.903181689	0.977036049	7.25566519	1.319621127
101.00	0.06	80	80	80.63883106	1.054726644	4.020473603	0.909424628	7.257273704	1.416593989
101.00	0.06	85	84	84.66083811	1.495585218	3.95841097	0.94082635	7.22966651	1.397790809
101.00	0.06	90	90	88.86559354	1.362145788	3.899964342	0.991055105	7.18113684	1.35640174
101.00	0.06	95	95	94.05746961	1.310090993	3.912305764	0.957064566	7.160526196	1.387832101
101.00	0.11	0	0	0.586930912	2.171126605	2.662081695	1.273441033	13.77910405	4.450454495
101.00	0.11	10	9	10.11192659	1.589687952	2.701243191	1.346712864	14.01307368	4.766968065
101.00	0.11	100	99	100.2128195	1.694257376	2.720845281	1.370801577	14.17346468	4.707770726
101.00	0.11	105	105	105.200282	1.527726747	2.744575783	1.365464463	14.35542629	4.761087947
101.00	0.11	110	109	110.441487	1.665846036	2.707597724	1.378805409	14.20201015	4.781768556
101.00	0.11	115	115	115.394887	1.805090028	2.719796312	1.390296544	14.16332039	4.683630158
101.00	0.11	120	119	120.4431403	1.749373533	2.737532723	1.423876887	14.152358	4.772534846
101.00	0.11	125	125	125.2026306	1.448492392	2.762228176	1.397348628	14.2204477	4.703695779
101.00	0.11	130	129	130.3287266	1.622710289	2.730828025	1.386859721	14.13499788	4.682595745
101.00	0.11	135	135	135.3541892	2.018155137	2.718954269	1.443120159	13.92521503	4.684415309
101.00	0.11	140	140	140.6187732	2.012707206	2.687551595	1.354120748	14.08863398	4.623681227
101.00	0.11	145	145	145.3463728	2.146787208	2.628295822	1.344272043	14.10100613	4.720787782
101.00	0.11	15	14	14.99051058	1.83155833	2.668730777	1.336120112	14.02716353	4.809776714
101.00	0.11	150	150	150.323138	2.132865577	2.64784336	1.329530263	13.97502533	4.639389354
101.00	0.11	155	155	155.3105028	2.112039323	2.611839665	1.324254176	13.9964899	4.704104054
101.00	0.11	160	160	160.0837235	1.572792751	2.654431022	1.320515648	13.99997547	4.879749536
101.00	0.11	165	165	165.0993724	1.532977226	2.694259654	1.332931245	14.10923376	4.831160845
101.00	0.11	170	170	170.1240113	1.726316926	2.69198146	1.342695478	13.99050874	4.727005866
101.00	0.11	175	175	175.0593422	1.299709353	2.679319377	1.327105549	14.04367193	4.911549478
101.00	0.11	20	19	20.06374975	2.149732662	2.65274266	1.336047464	14.02393839	4.787150934
101.00	0.11	25	24	25.06361758	2.150598973	2.617436945	1.292350199	14.08043373	4.86445061
101.00	0.11	30	29	29.67470249	2.193429085	2.667718372	1.337813636	13.97094123	4.53395434
101.00	0.11	35	34	34.73225167	2.080881553	2.69708262	1.344822028	14.07278545	4.588657995
101.00	0.11	40	39	39.70217854	1.909441623	2.702926552	1.348203076	14.17467282	4.673299383
101.00	0.11	45	44	45.26587416	1.727028563	2.987997572	1.581326647	14.24078553	4.419471788
101.00	0.11	5	5	5.158503816	1.751721621	2.6485755	1.329248157	13.8624453	4.830118016
101.00	0.11	50	50	49.98132236	1.682989651	2.739070042	1.394901535	14.18398838	4.669888894
101.00	0.11	55	54	54.94706009	1.491391258	2.749188568	1.408518808	14.18647235	4.763392187
101.00	0.11	60	60	59.90792938	1.36121708	2.762709111	1.403471351	14.17224707	4.651994548
101.00	0.11	65	64	64.768	1.430472293	2.714364035	1.357391113	14.1664137	4.81727862
101.00	0.11	70	70	69.82501931	1.206393017	2.742544722	1.36568951	14.2293773	4.770765174
101.00	0.11	75	74	74.99818855	1.334111814	2.745890264	1.352229044	14.2882775	4.713569246
101.00	0.11	80	80	80.04978737	1.602522712	2.732001338	1.380646678	14.14730999	4.686615801
101.00	0.11	85	84	85.03542343	1.71491636	2.661313872	1.337536859	14.06087225	4.799843274
101.00	0.11	90	90	90.33726099	1.548540327	2.713733803	1.263783168	14.00863454	4.400635031
101.00	0.11	95	95	95.17525156	1.418543335	2.699102535	1.353739542	14.14481539	4.828772972
101.00	0.16	0	179	2.193575557	6.067748523	0.859203024	0.700693123	16.19312348	5.277842847
101.00	0.16	10	9	14.17139624	7.094770796	1.438567987	0.955880495	15.71730762	4.961770874
101.00	0.16	100	99	109.7439542	5.875305935	1.244714081	0.653352751	15.50663984	4.36793099
101.00	0.16	105	105	100.9746973	7.021924555	1.491714401	1.047635394	16.10716845	4.972543921
101.00	0.16	110	109	104.786405	7.864810594	1.443846177	0.874936867	16.09863506	4.889211375
101.00	0.16	115	115	123.7868706	6.622524921	1.303428317	0.719727535	15.6499654	4.494334208
101.00	0.16	120	119	125.2253361	6.657143298	1.4856676	0.992678852	15.93651863	4.822823348
101.00	0.16	125	125	133.8648894	6.53395884	1.243714594	0.642651432	15.54474992	4.506974638
101.00	0.16	130	129	139.4068634	6.353484327	1.243992448	0.623009983	15.33327557	4.293986266
101.00	0.16	135	135	140.0008435	8.504988884	1.365364728	0.837892127	15.72054334	4.486799644
101.00	0.16	140	140	149.8388331	6.045952676	1.233745136	0.618496314	15.4438885	4.297390703
101.00	0.16	145	145	154.6031394	5.565898546	1.235484376	0.614049641	15.44672685	4.313807678
101.00	0.16	15	14	7.421820665	7.575050509	1.266044985	0.745509423	15.69599736	4.729950683
101.00	0.16	150	150	159.4902185	6.139064305	1.230688057	0.605475697	15.52184377	4.426424176
101.00	0.16	155	155	163.9030201	6.28889382	1.233897269	0.609374092	15.42754216	4.390025211
101.00	0.16	160	160	169.1788163	6.389834904	1.223787288	0.595646945	15.47575574	4.473464454
101.00	0.16	165	165	170.4567584	6.631556083	1.396586411	0.945385028	15.66381216	4.865132028
101.00	0.16	170	170	163.5597205	7.675811284	1.31089025	0.798071692	15.4233106	4.723573937
101.00	0.16	175	175	1.636135535	7.898218934	1.320350577	0.808668057	15.59469701	4.672457002
101.00	0.16	20	19	10.1200035	7.327035661	1.201658296	0.592200089	15.62761785	4.612057475
101.00	0.16	25	24	15.36937978	6.934273362	1.216634255	0.599403348	15.60901068	4.523241303
101.00	0.16	30	29	19.99571042	7.032099908	1.216802932	0.593822482	15.72946935	4.557165964
101.00	0.16	35	34	25.09979944	6.695191279	1.218181449	0.602348945	15.57150098	4.472668855
101.00	0.16	40	39	29.64182126	6.577173872	1.221068043	0.603449076	15.51257701	4.503436604
101.00	0.16	45	44	37.70584376	9.072317703	1.262448133	0.744396501	15.54788557	4.651756865
